Variable Name,Description,,,
crash_year,"The year in which a crash occurred, if known. ",,,
crash_fin_year,"The financial (fin) year in which a crash occurred, if known.",,,
crash_sev,"The severity of a crash. Possible values are 'F' (fatal), 'S' (serious), 'M' (minor), 'N' (non-injury). This is determined by the worst injury sustained in the crash at time of entry.",,,
fatal_count,A count of the number of fatal casualties associated with this crash.,,,
seriousinj_count,A count of the number of serious injuries (inj) associated with this crash.,,,
minorinj_count,A count of the number of minor injuries (inj) associated with this crash.,,,
multi_veh,"A variable derived from the number of vehicles which are given roles in the crash. The variable has the following possible values; ‘single vehicle’, ‘multi-vehicle’ , ‘cyclist and vehicle(s)’, ‘pedestrian and vehicle(s)’ , ‘cyclist only’, ‘cyclist(s) and pedestrian(s)’ , ‘vehicle(s) and other’, ‘others, no vehicles’ and ‘other’. ‘Vehicle’ means non-parked vehicle. Parked vehicles are treated as objects in a crash.",,,
holiday,"Indicates where a crash occurred during a 'Christmas/New Year', 'Easter', 'Queens Birthday' or 'Labour Weekend' holiday period, otherwise 'None'. ",,,
lg_region_desc,Identifies the local government (LG) region. The boundaries match territorial local authority (TLA) boundaries in most places. A blank cell occurs where the crash is said to have occurred in a particular TLA and the LG boundaries do not match.,,,
tla_id,The unique identifier for a territorial local authority (TLA). Each crash is assigned a TLA based on where the crash occurred.,,,
tla_name,The name of the territorial local authority (TLA) the crash has been attributed.,,,
au_id,The unique identifier of an area unit.,,,
mb_id,The unique identifier of a meshblock.,,,
easting,"The easting coordinate of an object (usually a crash) expressed in NZMG referred to the WGS84 datum to a precision of 1m. Please note, in some instances crashes are not able to be assigned to GPS co-ordinates. These crashes have been assigned eastings and northings of ‘0,0’ in this dataset. There are two main reasons that a GPS coordinate cannot be allocated to a crash. Firstly, that the crash has been reported but the location was unknown. Secondly in a small number of instances, a crash may have occurred on a road which is not yet captured on the CAS spatial layer.",,,
northing,"The northing coordinate of an object (usually a crash) expressed in NZMG referred to the WGS84 datum to a precision of 1m. Please note, in some instances crashes are not able to be assigned to GPS co-ordinates. These crashes have been assigned eastings and northings of ‘0,0’ in this dataset. There are two main reasons that a GPS coordinate cannot be allocated to a crash. Firstly, that the crash has been reported but the location was unknown. Secondly in a small number of instances, a crash may have occurred on a road which is not yet captured on the CAS spatial layer.",,,
